date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
01/01/2012,24.4,20.2,,,,,,,,
02/01/2012,26.6,21,,,,,,,,
03/01/2012,24.2,18.8,35,,,,,,,
04/01/2012,22.7,16.7,,,,,,,,
05/01/2012,26.9,20,,,,,,,,
06/01/2012,29.7,23.5,,,,,,,,
07/01/2012,24.4,21.6,38.8,,,,,,,
08/01/2012,25.2,20.6,,,,,,,,
09/01/2012,29.3,23,,,,,,,,
10/01/2012,31.6,26.3,38,,,,,,,
11/01/2012,24.2,21,37.9,7.9,,,,,,
12/01/2012,22.9,18,28.6,0.5,,,,,,
13/01/2012,22,17.9,28.9,0,,,,,,
14/01/2012,22.7,19.1,,,,,,,,
15/01/2012,23.7,19.6,,,,,,,,
16/01/2012,26.6,19,,,,,,,,
17/01/2012,27.6,23.1,34.4,,,,,,,
18/01/2012,26.8,21.7,33,,,,,,,
19/01/2012,28,23.6,33,,,,,,,
20/01/2012,29.9,25.1,,,,,,,,
21/01/2012,29.3,25.5,37.5,,,,,,,
22/01/2012,26.1,21.7,34.8,4.1,,,,,,
23/01/2012,26,21.2,30.4,0,,,,,,
24/01/2012,24.7,19.1,31,21.1,,,,,,
25/01/2012,21.1,14.2,32.2,0,,,,,,
26/01/2012,21.8,16.1,27.2,,,,,,,
27/01/2012,24.1,20.3,,,,,,,,
28/01/2012,25.5,20.9,,,,,,,,
29/01/2012,27.2,21.5,,,,,,,,
30/01/2012,24.2,21.6,35,7.1,,,,,,
31/01/2012,24.7,21.5,,6.1,,,,,,
01/02/2012,25.2,21.3,,1,,,,,,
02/02/2012,24.6,20.7,33.7,74.9,,,,,,
03/02/2012,24.8,20.8,31,5.1,,,,,,
04/02/2012,27.9,23.1,,0,,,,,,
05/02/2012,26.8,23.9,34.7,,,,,,,
06/02/2012,26.5,,,,,,,,,
07/02/2012,29,24.6,33.2,,,,,,,
08/02/2012,25.3,20.6,33.2,55.1,,,,,,
09/02/2012,21.8,16.4,31.2,0,,,,,,
10/02/2012,21.4,15.8,27.3,,,,,,,
11/02/2012,22.6,17.1,,,,,,,,
12/02/2012,24.8,17.4,,,,,,,,
13/02/2012,26.8,20.9,31.8,,,,,,,
14/02/2012,27.6,20.1,,,,,,,,
15/02/2012,28.2,21.8,,,,,,,,
16/02/2012,29.1,26.5,35,,,,,,,
17/02/2012,25.4,20.9,34.2,7.9,,,,,,
18/02/2012,27.7,25.1,,0.8,,,,,,
19/02/2012,24.7,21.6,35.4,15,,,,,,
20/02/2012,24.6,21.6,26.9,3,,,,,,
21/02/2012,22.5,19.1,26.3,7.9,,,,,,
22/02/2012,20.3,13.6,,0,,,,,,
23/02/2012,21.6,14.5,27.2,,,,,,,
24/02/2012,21.7,16.3,26.6,,,,,,,
25/02/2012,23.7,20.8,,0,,,,,,
26/02/2012,21.4,16.6,28,0.8,,,,,,
27/02/2012,22.3,15.4,,0,,,,,,
28/02/2012,20.5,17.5,28.6,101.1,,,,,,
29/02/2012,21.7,18.9,,0.5,,,,,,
01/03/2012,21.7,16.3,26.4,1,,,,,,
02/03/2012,21.9,16.5,,2,,,,,,
03/03/2012,24.8,20.3,,0,,,,,,
04/03/2012,26.4,22.6,,,,,,,,
05/03/2012,25.6,,31.8,,,,,,,
06/03/2012,22.7,19.6,30.3,52.1,,,,,,
07/03/2012,24.7,,,0,,,,,,
08/03/2012,24.8,22,29.4,,,,,,,
09/03/2012,24.2,21.3,28.5,,,,,,,
10/03/2012,25.6,19.7,,3,,,,,,
11/03/2012,25.2,21.6,31.4,0,,,,,,
12/03/2012,23.4,19.2,28.8,13,,,,,,
13/03/2012,22.3,18.9,,63,,,,,,
14/03/2012,19.9,15.3,27.8,0,,,,,,
15/03/2012,18.8,13,24.5,,,,,,,
16/03/2012,19.5,14.4,,,,,,,,
17/03/2012,22.7,18.9,,,,,,,,
18/03/2012,24.1,18.6,,,,,,,,
19/03/2012,26.6,22.8,,,,,,,,
20/03/2012,20.4,19,32.3,19.1,,,,,,
21/03/2012,22.7,18.7,,2,,,,,,
22/03/2012,18.9,16.1,26.5,0,,,,,,
23/03/2012,16.1,10.1,22.6,0,,,,,,
24/03/2012,15.8,11.2,23.2,,,,,,,
25/03/2012,18.8,15.4,,,,,,,,
26/03/2012,16.7,,24.3,,,,,,,
27/03/2012,12.6,8.1,22.5,0,,,,,,
28/03/2012,14.5,7.6,,,,,,,,
29/03/2012,19.1,11.7,,,,,,,,
30/03/2012,19.1,13.1,26.2,,,,,,,
31/03/2012,21.1,14.7,,,,,,,,
01/04/2012,22,18.1,27.5,,,,,,,
02/04/2012,21.5,16.6,27.2,,,,,,,
03/04/2012,20.6,17.6,28.8,,,,,,,
04/04/2012,23.3,19.9,,0,,,,,,
05/04/2012,17.7,14.1,29.5,54.1,,,,,,
06/04/2012,16.3,9.2,,0,,,,,,
07/04/2012,20.1,12.6,,,,,,,,
08/04/2012,20.2,14.5,29.9,,,,,,,
09/04/2012,19.2,14.6,,,,,,,,
10/04/2012,20.7,17.5,,,,,,,,
11/04/2012,20.8,16.6,25.8,,,,,,,
12/04/2012,19.9,16.1,26.5,,,,,,,
13/04/2012,20.6,15.9,24.6,,,,,,,
14/04/2012,21.5,17.2,,,,,,,,
15/04/2012,20.2,14,27.9,3,,,,,,
16/04/2012,18.5,12.2,,0,,,,,,
17/04/2012,21.2,17.1,27,5.1,,,,,,
18/04/2012,19.3,13.9,25.9,0,,,,,,
19/04/2012,21.6,16.1,,,,,,,,
20/04/2012,20.3,14.2,28.8,,,,,,,
21/04/2012,16.9,11.6,28.4,,,,,,,
22/04/2012,13.1,7.1,19.5,,,,,,,
23/04/2012,14.3,12.2,18.9,,,,,,,
24/04/2012,10.2,4,18.3,,,,,,,
25/04/2012,11.1,8.3,17.3,1,,,,,,
26/04/2012,12.9,9.7,,0.5,,,,,,
27/04/2012,11.2,6.2,16.7,0,,,,,,
28/04/2012,11.7,9,17.4,2,,,,,,
29/04/2012,10.4,7.1,,3,,,,,,
30/04/2012,10.8,4.4,,0,,,,,,
01/05/2012,13.9,8.5,18.2,,,,,,,
02/05/2012,15.9,11.7,,,,,,,,
03/05/2012,17.6,13.4,21.8,,,,,,,
04/05/2012,18.8,15.2,,,,,,,,
05/05/2012,17.8,12.7,,,,,,,,
06/05/2012,17,15.2,24.7,,,,,,,
07/05/2012,19.4,15.3,,,,,,,,
08/05/2012,20,16.2,24.6,,,,,,,
09/05/2012,19,16.5,24.5,0,,,,,,
10/05/2012,17.6,15.1,22.5,33,,,,,,
11/05/2012,15.4,11.1,22.2,1,,,,,,
12/05/2012,11.8,7.3,20.8,0,,,,,,
13/05/2012,11.1,5.6,,,,,,,,
14/05/2012,15.6,8.4,,,,,,,,
15/05/2012,15.3,10.3,22.4,,,,,,,
16/05/2012,17.3,14.2,21.4,,,,,,,
17/05/2012,18.3,14.5,,,,,,,,
18/05/2012,16.6,,22.7,,,,,,,
19/05/2012,14,12.1,17.5,,,,,,,
20/05/2012,17.2,13.7,,0,,,,,,
21/05/2012,15.6,13.7,20.2,15,,,,,,
22/05/2012,14.7,13.4,17.3,35.1,,,,,,
23/05/2012,15.6,14,16.5,3,,,,,,
24/05/2012,15.2,13.3,,0.5,,,,,,
25/05/2012,16.7,13.5,,0,,,,,,
26/05/2012,16.9,16.1,19.9,,,,,,,
27/05/2012,17.7,16.3,,,,,,,,
28/05/2012,18.2,14.8,,,,,,,,
29/05/2012,19.6,16.6,,,,,,,,
30/05/2012,15.2,10.1,24.4,,,,,,,
31/05/2012,12.3,7.3,19,,,,,,,
01/06/2012,12.4,7.2,,,,,,,,
02/06/2012,17.3,12.5,,,,,,,,
03/06/2012,12.4,8,22.5,,,,,,,
04/06/2012,9.1,6.3,16.4,,,,,,,
05/06/2012,8.1,4.2,,0,,,,,,
06/06/2012,6.6,2.2,14.2,2,,,,,,
07/06/2012,5.1,0.1,,0,,,,,,
08/06/2012,7.4,1.1,,,,,,,,
09/06/2012,8.2,2.6,15,,,,,,,
10/06/2012,10.2,3.3,,,,,,,,
11/06/2012,9.9,4.2,17.5,,,,,,,
12/06/2012,13.8,8.1,17.8,,,,,,,
13/06/2012,17.2,13,,0,,,,,,
14/06/2012,17.5,14,22.6,,,,,,,
15/06/2012,12.6,11.4,20.6,2,,,,,,
16/06/2012,7.9,4.2,13.4,2,,,,,,
17/06/2012,8.6,4.3,10.8,0,,,,,,
18/06/2012,9,7.4,,0.8,,,,,,
19/06/2012,9.4,7.2,,0,,,,,,
20/06/2012,11.2,6.8,,,,,,,,
21/06/2012,13.2,7.5,17.8,,,,,,,
22/06/2012,12.2,6.2,,,,,,,,
23/06/2012,13.7,7.6,20.4,,,,,,,
24/06/2012,14.2,10,20.3,,,,,,,
25/06/2012,8.7,3.7,19.8,,,,,,,
26/06/2012,11.6,5.6,,,,,,,,
27/06/2012,15.8,8.7,,,,,,,,
28/06/2012,17.7,13.2,23.1,,,,,,,
29/06/2012,14.8,12.4,20.4,,,,,,,
30/06/2012,14.1,12.1,20,0,,,,,,
01/07/2012,17.9,12.4,,0,,,,,,
02/07/2012,12.7,9.8,21.2,9.9,,,,,,
03/07/2012,8.4,5.5,16,0,,,,,,
04/07/2012,8.1,5.8,13.4,,,,,,,
05/07/2012,7.7,3,,,,,,,,
06/07/2012,6.3,2.8,13.5,,,,,,,
07/07/2012,7.1,2,,,,,,,,
