t,i,s,r
0.0,10.0,990.0,0.0
0.1,10.713275845,988.976374155,0.31035
0.2,11.476215933133615,987.8809640005959,0.6428200662705157
0.30000000000000004,12.29209928671877,986.708952763298,0.9989479499832685
0.4,13.164394998546788,985.4552324309258,1.3803725705274994
0.5,14.096769288250929,984.114390886115,1.788839825634215
0.6,15.09309217882747,982.6806992127882,2.2262086083843835
0.7,16.157443659258373,981.1480993229096,2.6944570178320952
0.7999999999999999,17.294119179317462,979.5101920750152,3.1956887456674776
0.8999999999999999,18.507634300972367,977.7602260826128,3.732139616414961
0.9999999999999999,19.802728307345056,975.8910874395988,4.306184253056254
1.0999999999999999,21.18436654504317,973.8952906213254,4.92034283363149
1.2,22.657741248970403,971.7649708537726,5.577287897257036
1.3,24.22827057070206,969.4918782792373,6.279851150060739
1.4000000000000001,25.901595502510617,967.0673742847499,7.031030212739556
1.5000000000000002,27.68357435961192,964.4824303986209,7.833995241767343
1.6000000000000003,29.58027445378794,961.7276302004976,8.692095345714595
1.7000000000000004,31.597960563011462,958.793174730288,9.608864706700711
1.8000000000000005,33.74307977502987,955.6688919202478,10.588028304722519
1.9000000000000006,36.022242259254156,952.3442506111835,11.63350712956252
2.0000000000000004,38.44219750217682,948.8083797465353,12.749422751288067
2.1000000000000005,41.00980552859073,945.0500933652431,13.940101106166297
2.2000000000000006,43.73200262604158,941.0579220336069,15.21007534035168
2.3000000000000007,46.615761095416886,936.8201513653556,16.564087539227657
2.400000000000001,49.66804256879152,932.3248682750633,18.007089156145355
2.500000000000001,52.895744469253984,927.5600155898248,19.544239940921287
2.600000000000001,56.30563923921714,922.5134556044484,21.180905156334546
2.700000000000001,59.904306036519635,917.1730431028901,22.922650860590295
2.800000000000001,63.69805469424284,911.526708279794,24.775237025963172
2.9000000000000012,67.69284186318897,905.5625498774541,26.74460825935695
3.0000000000000013,71.89417940757701,899.2689387022797,28.836881890143307
3.1000000000000014,76.30703530628242,892.6346314984582,31.05833319525929
3.2000000000000015,80.93572752455648,885.6488949333715,33.41537754207198
3.3000000000000016,85.78381156412681,878.3016391889864,35.91454924688675
3.4000000000000017,90.85396267094005,870.5835603569842,38.56247697207567
3.5000000000000018,96.14785397583145,862.4862905057246,41.365855518443865
3.600000000000002,101.66603215830938,854.0025539293873,44.33141391230323
3.700000000000002,107.40779254938057,845.1263277113715,47.46587973924787
3.800000000000002,113.3710559154667,835.8530043455239,50.77593973900933
3.900000000000002,119.55224947913088,826.1795537730185,54.268196747850524
4.000000000000002,125.94619501846353,816.1046818253867,57.94912315614968
4.100000000000001,132.54600712861833,805.6289817333173,61.82501113806427
4.200000000000001,139.34300490790886,794.7550750862424,65.90192000584871
4.300000000000001,146.32664042838994,783.4877384302401,70.18562114136991
4.4,153.48444734887997,771.8340115922192,74.68154105890083
4.5,160.80201291072225,759.8032838361461,79.3947032531317
4.6,168.26297631028416,747.4073541088868,84.32966958082908
4.699999999999999,175.84905605900042,734.6604619313238,89.4904820096758
4.799999999999999,183.54010841948775,721.5792859411612,94.880605639351
4.899999999999999,191.31421834991255,708.1829076963782,100.50287395370921
4.999999999999998,199.14782361141252,694.4927390934862,106.35943729510117
5.099999999999998,207.01587181629966,680.5324126246252,112.45171555907501
5.1999999999999975,214.89200924736377,666.3276346653413,118.78035608729478
5.299999999999997,222.74879929725046,651.9060030158496,125.3451976868998
5.399999999999997,230.55796740340182,637.2967909713248,132.14524162527323
5.4999999999999964,238.29066843334957,622.5307012254679,139.17863034118233
5.599999999999996,245.91777165257724,607.6395938686618,146.44263447876077
5.699999999999996,253.4101577254597,592.6561935811076,153.9336486934325
5.799999999999995,260.73902169607584,577.6137818004655,161.64719650345836
5.899999999999995,267.8761755987412,562.5458801281038,169.57794427315463
5.999999999999995,274.79434427609993,547.485931503351,177.71972422054876
6.099999999999994,281.4674481416664,532.4669857081041,186.0655661502293
6.199999999999994,287.87086700731254,517.5213955643413,194.60773742834596
6.299999999999994,293.98167968563234,502.68052976670157,203.33779054766595
6.399999999999993,299.77887484279995,487.9745076750944,212.2466174821055
6.499999999999993,305.2435294811575,473.4319606118379,221.32450990700445
6.5999999999999925,310.3589524280481,459.07982330483964,230.56122426711218
6.699999999999992,315.1107912511535,444.94315813792275,239.9460506109236
6.799999999999992,319.4871020638302,431.04501385784056,249.46788407832912
6.8999999999999915,323.4783826827812,417.40631938939856,259.11529792782005
6.999999999999991,327.0775705165306,404.0458124656965,268.87661701777273
7.099999999999991,330.2800073656197,390.9800019237659,278.7399907106142
7.19999999999999,333.0833739817739,378.2231617730849,288.69346424514106
7.29999999999999,335.4875977499544,365.7873545334808,298.72504771656463
7.39999999999999,337.4947372193509,353.68248086928355,308.8227819113654
7.499999999999989,339.1088474199971,341.9163522198954,318.9748003601073
7.599999999999989,340.3358299704846,330.4947829379739,329.1693870915412
7.699999999999989,341.1832719240932,319.42169838435933,339.39502969154717
7.799999999999988,341.66027713406976,308.69925547875835,349.6404673871716
7.899999999999988,341.77729366438086,298.32797234936857,359.8947339862503
7.999999999999988,341.5459404513368,288.3068639441093,370.14719560455364
8.099999999999987,340.9788360548094,278.6335807418231,380.38758320336717
8.199999999999987,340.0894319446567,269.30454801548547,390.60602003985747
8.299999999999986,338.8918523655802,260.31510343446536,400.7930441999541
8.399999999999986,337.40074242655567,251.6596311346845,410.9396264387595
8.499999999999986,335.6311256809941,243.33169072196586,421.03718359703964
8.599999999999985,333.5982721099193,235.32413999526096,431.0775878948193
8.699999999999985,331.31757709907225,227.62925047552767,441.0531724253997
